visitorId,department
03f58461e42c9d844e6ffa82a6ba09b5a1a5d325,cobertor e manta solteiro
03f58461e42c9d844e6ffa82a6ba09b5a1a5d325,cobertor e manta
03f58461e42c9d844e6ffa82a6ba09b5a1a5d325,cama mesa e banho
03ff305ceb208bf66353ae5d55366073c159b61e,depurador
03ff305ceb208bf66353ae5d55366073c159b61e,eletrodomesticos
041131bc2b9a4ebf4c8f10aec931742870910c5d,relogios
041131bc2b9a4ebf4c8f10aec931742870910c5d,cronografo
041131bc2b9a4ebf4c8f10aec931742870910c5d,relogio masculino
04126b88cf2000adaf0265f920dc6f25879f7178,cobertor e manta king
04126b88cf2000adaf0265f920dc6f25879f7178,cobertor e manta
04126b88cf2000adaf0265f920dc6f25879f7178,cama mesa e banho
041475ee276f017c708c92011a0010a1fe09e4b3,celulares e telefones
043da6ad771f2c6e2c069a1d83e657a1feb2a9b8,fogao
043da6ad771f2c6e2c069a1d83e657a1feb2a9b8,fogao piso 4 bocas
043da6ad771f2c6e2c069a1d83e657a1feb2a9b8,eletrodomesticos
043e59bc32673d07ad09e345b93c736a1f90a774,moveis
044fccd4e95a4c1b7a02013b5f7a4b6966fe2901,refrigerador
044fccd4e95a4c1b7a02013b5f7a4b6966fe2901,eletrodomesticos
044fccd4e95a4c1b7a02013b5f7a4b6966fe2901,refrigerador 2 portas
04653a359c35a132644cb0325dbc2627ce2075dc,tv
04653a359c35a132644cb0325dbc2627ce2075dc,tv e video
04653a359c35a132644cb0325dbc2627ce2075dc,superior a 60
047766f8f2078503f4865c45d9ae0476401f57d0,perfumaria e cosmeticos
047766f8f2078503f4865c45d9ae0476401f57d0,moda bebe
047766f8f2078503f4865c45d9ae0476401f57d0,higiene e cuidados diarios
047766f8f2078503f4865c45d9ae0476401f57d0,conjuntos
047766f8f2078503f4865c45d9ae0476401f57d0,relogio masculino
047766f8f2078503f4865c45d9ae0476401f57d0,acessorios de seguranca
047766f8f2078503f4865c45d9ae0476401f57d0,seguranca
047766f8f2078503f4865c45d9ae0476401f57d0,acessorios de informatica
047766f8f2078503f4865c45d9ae0476401f57d0,relogios
047766f8f2078503f4865c45d9ae0476401f57d0,bebes
047766f8f2078503f4865c45d9ae0476401f57d0,analogico
048227081490e5a50ae6462af0d41a8869ee7da3,depurador ate 4 bocas
048227081490e5a50ae6462af0d41a8869ee7da3,depurador
048227081490e5a50ae6462af0d41a8869ee7da3,eletrodomesticos
048457b2027d25b002c643a8d894c8dc0f7e784e,anadigi
048457b2027d25b002c643a8d894c8dc0f7e784e,esporte e lazer
048457b2027d25b002c643a8d894c8dc0f7e784e,acessorios de bicicleta
048457b2027d25b002c643a8d894c8dc0f7e784e,relogio masculino
048457b2027d25b002c643a8d894c8dc0f7e784e,bicicletas
048457b2027d25b002c643a8d894c8dc0f7e784e,relogios
04a40d2cdce8b67da2772705c4b578c042da32a0,instrumentos musicais
04a651c0dc696ab6b0acf354d5d67782abac5387,malas mochilas e bolsas
04a72dd4b4289086e59731a7f46076b60b4d087e,grills sanduicheiras e torradeiras
